Species	TipLab	Order	ADH7	perc_fruit_nectar	perc_plant
Vulpes vulpes	Vulpes_vulpes	Carnivora	pseudo	10	0
Orycteropus afer	Orycteropus_afer	Tubulidentata	functional	0	0
Phascolarctos cinereus	Phascolarctos_cinereus	Diprotodontia	functional	0	100
Sarcophilus harrisii	Sarcophilus_harrisii	Diprotodontia	functional	0	0
Galeopterus variegatus	Galeopterus_variegatus	Dermoptera	functional	0	100
Equus caballus	Equus_caballus	Perissodactyla	pseudo	0	100
Canis lupus familiaris	Canis_lupus	Carnivora	pseudo	0	0
Homo sapiens	Homo_sapiens	Primates	functional	60	30
Mus musculus	Mus_musculus	Rodentia	functional	0	60
Rattus norvegicus	Rattus_norvegicus	Rodentia	functional	20	10
Piliocolobus tephrosceles	Piliocolobus_tephrosceles	Primates	functional	20	80
Papio anubis	Papio_anubis	Primates	functional	20	30
Hylobates moloch	Hylobates_moloch	Primates	functional	70	20
Rhinopithecus roxellana	Rhinopithecus_roxellana	Primates	functional	10	80
Gorilla gorilla	Gorilla_gorilla	Primates	functional	10	90
Mastomys coucha	Mastomys_coucha	Rodentia	functional	0	30
Bos taurus	Bos_taurus	Cetartiodactyla	pseudo	0	100
Pan troglodytes	Pan_troglodytes	Primates	functional	60	30
Microcebus murinus	Microcebus_murinus	Primates	functional	40	20
Tupaia belangeri	Tupaia_belangeri	Scandentia	functional	10	10
Galago moholi	Galago_moholi	Primates	functional	60	0
Eulemur albifrons	Eulemur_albifrons	Primates	functional	40	40
Saguinus oedipus	Saguinus_oedipus	Primates	functional	60	0
Cricetulus griseus	Cricetulus_griseus	Rodentia	functional	0	50
Monodon monoceros	Monodon_monoceros	Cetartiodactyla	pseudo	0	0
Peromyscus leucopus	Peromyscus_leucopus	Rodentia	functional	20	0
Phyllostomus discolor	Phyllostomus_discolor	Chiroptera	functional	70	0
Marmota flaviventris	Marmota_flaviventris	Rodentia	functional	30	40
Urocitellus parryii	Urocitellus_parryii	Rodentia	functional	0	40
Neophocaena phocaenoides	Neophocaena_phocaenoides	Cetartiodactyla	pseudo	0	0
Desmodus rotundus	Desmodus_rotundus	Chiroptera	functional	0	0
